mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0003380775451660156,0.0004781138495075819,0.0,0.0,lbfgs,none,1.0,"{'solver': 'lbfgs', 'penalty': 'none', 'C': 1.0}",,,,,,3
0.0015823046366373699,0.0006765354591931628,0.0,0.0,newton-cg,elasticnet,0.1,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,3
0.0006679693857828776,0.0004723257725730258,0.0,0.0,sag,l1,0.01,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.01}",,,,,,3
0.0011104742685953777,0.0001719289845413447,0.0,0.0,newton-cg,l1,10.0,"{'solver': 'newton-cg', 'penalty': 'l1', 'C': 10}",,,,,,3
0.007979551951090494,0.003082422236923023,0.0003390312194824219,0.00047946254865993053,sag,l2,1.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 1.0}",0.8185096153846154,0.8004807692307693,0.8125,0.8104967948717948,0.007495307265172151,2
0.0023616154988606772,0.0016941571984907347,0.0,0.0,sag,none,0.1,"{'solver': 'sag', 'penalty': 'none', 'C': 0.1}",,,,,,3
0.00099945068359375,1.083865300574768e-06,0.0,0.0,saga,elasticnet,0.01,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 0.01}",,,,,,3
0.0012745857238769531,0.001137144671700657,0.0,0.0,saga,none,10.0,"{'solver': 'saga', 'penalty': 'none', 'C': 10}",,,,,,3
0.012485980987548828,0.005989792409619823,0.0,0.0,lbfgs,l2,100.0,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,1
0.0007052421569824219,0.0004999247424924497,0.0,0.0,sag,none,10.0,"{'solver': 'sag', 'penalty': 'none', 'C': 10}",,,,,,3
